#{"t_start": 1711607050.050625, "env_id": "None"}
r,l,t
372.651867,790,494.081927
317.389355,787,494.532119
329.852493,731,494.867346
397.992402,853,495.248791
272.934863,754,495.615204
317.9633,701,495.949436
297.719473,609,498.015142
308.19628,812,498.381835
245.902366,626,498.681841
251.666334,833,499.05881
350.524354,775,499.415164
330.631308,700,499.747384
305.877565,653,500.048597
365.75527,682,500.358959
370.391698,831,500.740139
294.884995,702,501.065171
290.66122,673,501.365162
375.488123,827,503.548317
312.488928,643,503.871472
288.040604,714,504.198645
395.295263,748,504.531913
417.373512,707,504.881937
260.483083,685,505.274247
385.733946,713,505.615013
296.834802,794,505.981772
299.263158,755,506.333125
324.123706,711,506.658343
221.05245,653,506.958551
445.053515,991,509.175388
352.267005,723,509.524938
312.977613,745,509.865047
292.450416,745,510.231652
404.38207,654,510.564896
366.917839,757,510.898246
313.243215,648,511.214919
357.084824,784,511.598577
343.514474,732,511.955065
328.102372,711,512.306129
341.394749,705,512.635153
309.172883,601,512.949182
304.092845,781,515.098582
360.477628,686,515.414848
322.840068,716,515.751857
300.790747,751,516.114908
301.066143,748,516.464816
341.069569,737,516.804529
334.924589,666,517.125125
237.209595,704,517.440968
298.149849,691,517.77029
297.680329,691,518.114755
368.559491,712,518.431734
322.230751,881,520.647967
341.29749,654,520.948265
319.98559,717,521.288409
356.048833,795,521.664739
306.612685,778,522.041992
344.948721,729,522.38135
318.482727,713,522.698112
304.70719,739,523.114764
390.842366,882,523.526054
274.511857,664,523.827649
292.558019,595,524.111676
336.631551,741,526.265545
288.201391,634,526.575441
377.662513,744,526.907998
414.851465,784,527.269356
305.140805,621,527.547882
315.580341,707,527.881107
300.419264,612,528.173584
274.007842,598,528.441286
405.433006,778,528.80145
337.101839,768,529.174648
450.653631,912,529.623093
413.452055,867,531.751254
299.349397,748,532.114816
351.074845,658,532.414489
340.091539,785,532.78
393.140368,738,533.115167
443.641619,757,533.451252
376.759752,832,533.832608
302.869956,665,534.149351
329.911242,661,534.447725
377.1903,739,534.780994
343.76621,729,535.131198
303.599068,612,535.401805
328.850785,724,537.564398
301.831908,791,537.951474
361.162106,635,538.252593
360.999433,777,538.614479
351.833956,857,539.008195
286.676785,732,539.340048
381.542186,715,539.674529
268.729798,616,539.947906
312.443575,773,540.297698
379.219659,831,540.68995
295.564374,766,541.034863
331.101199,794,543.177124
227.185885,518,543.408238
384.975619,884,543.814299
327.760662,701,544.157623
328.482198,702,544.480879
323.572241,655,544.786933
334.302678,796,545.164241
295.576063,619,545.451726
352.042861,782,545.834341
250.255823,708,546.240931
309.456062,727,546.5643
286.357008,649,548.616634
318.021564,698,548.957739
241.032968,685,549.270771
334.142387,757,549.602795
273.159777,714,549.944295
275.593598,742,550.284715
333.918647,750,550.640318
257.438078,632,550.924184
265.127122,714,551.250916
256.829389,642,551.547524
316.677867,684,551.87357
350.292434,689,552.197055
301.864647,647,554.309581
254.569143,656,554.6141
315.099508,618,554.890696
335.791155,760,555.258916
373.477999,730,555.580677
332.947478,690,555.899642
330.060911,769,556.273131
344.883831,782,556.640897
348.345881,721,556.971968
334.052126,706,557.29264
407.142496,762,557.703822
407.602964,709,559.767554
306.051086,700,560.098105
306.748261,715,560.423507
309.133782,646,560.730587
288.367181,690,561.050834
280.851479,583,561.313961
333.260572,813,561.758646
325.392876,861,562.143957
331.764939,689,562.464036
375.372652,751,562.823376
366.572854,681,563.130499
